"","CreatedDateKey","Value","n","Key","GTS_Category"
"1",2020-12-16,"Speciality",6291,"ProductCategory","AZ Enablement/Whitelisting"
"2",2020-12-16,"Standard",1897,"ProductCategory","AZ Enablement/Whitelisting"
"3",2020-12-16,"Lifecycle",354,"ProductCategory","AZ Enablement/Whitelisting"
"4",2020-12-16,"DSv2 Promo Series",693,"ProductName","AZ Enablement/Whitelisting"
"5",2020-12-16,"Dv2 Promo Series",693,"ProductName","AZ Enablement/Whitelisting"
"6",2020-12-16,"MS Series",633,"ProductName","AZ Enablement/Whitelisting"
"7",2020-12-16,"Mv2 Series",537,"ProductName","AZ Enablement/Whitelisting"
"8",2020-12-16,"NCSv3 Series",531,"ProductName","AZ Enablement/Whitelisting"
"9",2020-12-16,"NV Promo Series",483,"ProductName","AZ Enablement/Whitelisting"
"10",2020-12-16,"NV Series",483,"ProductName","AZ Enablement/Whitelisting"
"11",2020-12-16,"NVSv3 Series",482,"ProductName","AZ Enablement/Whitelisting"
"12",2020-12-16,"LSv2 Series",459,"ProductName","AZ Enablement/Whitelisting"
"13",2020-12-16,"NVv4 Series",435,"ProductName","AZ Enablement/Whitelisting"
"14",2020-12-16,"NC Promo Series",408,"ProductName","AZ Enablement/Whitelisting"
"15",2020-12-16,"NC Series",408,"ProductName","AZ Enablement/Whitelisting"
"16",2020-12-16,"NDS Series",408,"ProductName","AZ Enablement/Whitelisting"
"17",2020-12-16,"H Promo Series",331,"ProductName","AZ Enablement/Whitelisting"
"18",2020-12-16,"H Series",331,"ProductName","AZ Enablement/Whitelisting"
"19",2020-12-16,"NCSv2 Series",279,"ProductName","AZ Enablement/Whitelisting"
"20",2020-12-16,"NDv2 Series",258,"ProductName","AZ Enablement/Whitelisting"
"21",2020-12-16,"DS Series",129,"ProductName","AZ Enablement/Whitelisting"
"22",2020-12-16,"HB Series",129,"ProductName","AZ Enablement/Whitelisting"
"23",2020-12-16,"HC Series",129,"ProductName","AZ Enablement/Whitelisting"
"24",2020-12-16,"G Series",75,"ProductName","AZ Enablement/Whitelisting"
"25",2020-12-16,"GS Series",75,"ProductName","AZ Enablement/Whitelisting"
"26",2020-12-16,"LS Series",75,"ProductName","AZ Enablement/Whitelisting"
"27",2020-12-16,"DSv2 Series",27,"ProductName","AZ Enablement/Whitelisting"
"28",2020-12-16,"DCSV2 Series",26,"ProductName","AZ Enablement/Whitelisting"
"29",2020-12-16,"Dv2 Series",24,"ProductName","AZ Enablement/Whitelisting"
"30",2020-12-16,"EdSv4 Series",1,"ProductName","AZ Enablement/Whitelisting"
"31",2020-12-16,"US East",5540,"RegionName","AZ Enablement/Whitelisting"
"32",2020-12-16,"US West 2",2649,"RegionName","AZ Enablement/Whitelisting"
"33",2020-12-16,"UK South",350,"RegionName","AZ Enablement/Whitelisting"
"34",2020-12-16,"Europe West",3,"RegionName","AZ Enablement/Whitelisting"
"35",2020-12-16,"Hero",8542,"RegionType","AZ Enablement/Whitelisting"
"36",2020-12-16,"Int C&E Prod",8539,"CustomerSegment","AZ Enablement/Whitelisting"
"37",2020-12-16,"EA",2,"CustomerSegment","AZ Enablement/Whitelisting"
"38",2020-12-16,"BizSpark Plus",1,"CustomerSegment","AZ Enablement/Whitelisting"
"39",2020-12-16,"0B478641-52E4-4162-ABAD-B69EE3972E71",46,"CustomerSubscriptionId","AZ Enablement/Whitelisting"
"40",2020-12-16,"1827F42D-A293-4571-8A8B-40784C230D79",46,"CustomerSubscriptionId","AZ Enablement/Whitelisting"
"41",2020-12-16,"24AAC6DA-D17B-49B5-8EA5-86B977B92CC1",46,"CustomerSubscriptionId","AZ Enablement/Whitelisting"
"42",2020-12-16,"35969C21-F54A-4929-873D-3E3D064CD217",46,"CustomerSubscriptionId","AZ Enablement/Whitelisting"
"43",2020-12-16,"3640DB26-724E-4BA2-8490-0BE841836AB1",46,"CustomerSubscriptionId","AZ Enablement/Whitelisting"
"44",2020-12-16,"47908B49-3A18-4C3A-B034-FFDAD1181B7B",46,"CustomerSubscriptionId","AZ Enablement/Whitelisting"
"45",2020-12-16,"9D5A066A-5D37-4A4B-A08D-C324F60E7399",46,"CustomerSubscriptionId","AZ Enablement/Whitelisting"
"46",2020-12-16,"D7FC4396-BFDD-4F4F-9A3A-104CF1F2DF3F",46,"CustomerSubscriptionId","AZ Enablement/Whitelisting"
"47",2020-12-16,"F5F73288-B532-4C8F-8380-89B07FEEA587",46,"CustomerSubscriptionId","AZ Enablement/Whitelisting"
"48",2020-12-16,"034B49EC-41DA-4CA0-9AF8-B97856EEEE43",43,"CustomerSubscriptionId","AZ Enablement/Whitelisting"
"49",2020-12-16,"03BD5E6B-679B-49BA-B351-0F19B464DD92",43,"CustomerSubscriptionId","AZ Enablement/Whitelisting"
